date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
8/25/2015,Dmitri Shostakovich ,1,m,1, Gadfly, The: Film Score, Op. 97: Romance,nan,nan,nan,nan,nan,
8/25/2015,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
8/27/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Open Air-Bühne,,,
8/28/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Open Air-Bühne,,,
8/28/2015,Samuel Barber ,44,m,44, Essay for Orchestra, No. 2, Op. 17,nan,nan,nan,nan,nan,
8/28/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
8/28/2015,Maurice Ravel ,13,m,13, Pavane pour une infante d�funte [Pavane for a Dead Princess],nan,nan,nan,nan,nan,,,
8/28/2015,Giacomo Puccini ,22,m,22, Manon Lescaut, Act 3: Intermezzo,nan,nan,nan,nan,nan,,
8/30/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 90 in C major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Kultur und Kongresszentrum Luzern,,,
8/30/2015,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),nan,nan,nan,nan,nan,,,
8/30/2015,Richard Rodgers ,86,m,86, My Funny Valentine,nan,nan,nan,nan,nan,,,
8/30/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
8/31/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Yo-Yo Ma ,Andris Nelsons,Boston Symphony Orchestra,Kultur und Kongresszentrum Luzern,,
8/31/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
8/31/2015,Dmitri Shostakovich ,1,m,1, Gadfly, The: Film Score, Op. 97: Romance,nan,nan,nan,nan,nan,
8/31/2015,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
9/1/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Teatro alla Scala,,,
9/3/2015,Richard Strauss ,3,m,3, Don Quixote, Op. 35,Steven Ansell , Viola Yo-Yo Ma ,Andris Nelsons,Boston Symphony Orchestra,Philharmonie de Paris,,
9/3/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 10 in E minor, Op. 93,nan,nan,nan,nan,nan,,
9/3/2015,Dmitri Shostakovich ,1,m,1, Gadfly, The: Film Score, Op. 97: Romance,nan,nan,nan,nan,nan,
9/3/2015,Dmitri Shostakovich ,1,m,1, Moscow, Cheryomushki: Galop,nan,nan,nan,nan,nan,,
9/4/2015,Samuel Barber ,44,m,44, Essay for Orchestra, No. 2, Op. 17,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Funkhaus Köln,
9/4/2015,Brett Dean ,23,m,23, Dramatis personae (for trumpet and orchestra),Håkan Hardenberger , Trumpet,nan,nan,nan,,,
9/4/2015,Richard Strauss ,3,m,3, Heldenleben, Ein [A Hero's Life], Op. 40,nan,nan,nan,nan,nan,
9/4/2015,Maurice Ravel ,13,m,13, Pavane pour une infante d�funte [Pavane for a Dead Princess],nan,nan,nan,nan,nan,,,
9/4/2015,Giacomo Puccini ,22,m,22, Manon Lescaut, Act 3: Intermezzo,nan,nan,nan,nan,nan,,
9/5/2015,Gustav Mahler ,2,m,2, Symphony No. 6 in A minor,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Philharmonie,,,
9/26/2015,Dmitri Shostakovich ,1,m,1, Festive Overture [BRASS],nan,nan,Andris Nelsons,Members of the Boston Symphony Orchestra,Symphony Hall,,,
10/1/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 9 in E-flat major, Op. 70,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/1/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Piano No. 1 in B-flat minor, Op. 23,Evgeny Kissin , Piano,nan,nan,nan,,
10/1/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Meditation, Op. 72, No. 5,nan,nan,nan,nan,nan,
10/1/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
10/2/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 9 in E-flat major, Op. 70,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/2/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Piano No. 1 in B-flat minor, Op. 23,Evgeny Kissin , Piano,nan,nan,nan,,
10/2/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Pieces (6) for Piano: Natha Waltz, Op. 51, No. 4,Evgeny Kissin , Piano,nan,nan,nan,
10/2/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
10/3/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 9 in E-flat major, Op. 70,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/3/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Concerto for Piano No. 1 in B-flat minor, Op. 23,Evgeny Kissin , Piano,nan,nan,nan,,
10/3/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Pieces (6) for Piano: Sentimental Waltz, Op. 51, No. 6,Evgeny Kissin , Piano,nan,nan,nan,
10/3/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
10/6/2015,Sergei Prokofiev ,15,m,15, Alexander Nevsky, Cantata, Op. 78,Tanglewood Festival Chorus , SATB Chorus Nadezhda Serdyuk ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
10/6/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
10/8/2015,Sebastian Currier ,38,m,38, Divisions,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/8/2015,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Lars Vogt , Piano,nan,nan,nan,,
10/8/2015,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
10/9/2015,Sebastian Currier ,38,m,38, Divisions,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/9/2015,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Lars Vogt , Piano,nan,nan,nan,,
10/9/2015,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
10/10/2015,Sebastian Currier ,38,m,38, Divisions,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/10/2015,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Lars Vogt , Piano,nan,nan,nan,,
10/10/2015,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
10/15/2015,Richard Strauss ,3,m,3, Elektra, Op. 58,Gun-Brit Barkmin , Soprano Elizabeth Byrne ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/16/2015,Sergei Prokofiev ,15,m,15, Alexander Nevsky, Cantata, Op. 78,Tanglewood Festival Chorus , SATB Chorus Nadezhda Serdyuk ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
10/16/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
10/17/2015,Richard Strauss ,3,m,3, Elektra, Op. 58,Gun-Brit Barkmin , Soprano Elizabeth Byrne ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/20/2015,Sebastian Currier ,38,m,38, Divisions,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
10/20/2015,Ludwig van Beethoven ,5,m,5, Concerto for Piano No. 3 in C minor, Op. 37,Lars Vogt , Piano,nan,nan,nan,,
10/20/2015,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
10/21/2015,Richard Strauss ,3,m,3, Elektra, Op. 58,Gun-Brit Barkmin , Soprano Elizabeth Byrne ,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,
10/22/2015,Sergei Prokofiev ,15,m,15, Alexander Nevsky, Cantata, Op. 78,Tanglewood Festival Chorus , SATB Chorus Nadezhda Serdyuk ,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,
10/22/2015,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,nan,nan,nan,nan,nan,,
11/19/2015,Johann Sebastian Bach ,10,m,10, Komm, Jesu, komm: Motet for Double Chorus S229,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/19/2015,Johann Sebastian Bach ,10,m,10, Cantata No. 60," ""O Ewigkeit", du Donnerwort," BWV 60:Chorale Es ist genug...""",Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan
11/19/2015,Alban Berg ,54,m,54, Concerto for Violin and Orchestra,Isabelle Faust , Violin,nan,nan,nan,,,
11/19/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 5 in D minor, Op. 47,nan,nan,nan,nan,nan,,
11/20/2015,Johann Sebastian Bach ,10,m,10, Komm, Jesu, komm: Motet for Double Chorus S229,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/20/2015,Johann Sebastian Bach ,10,m,10, Cantata No. 60," ""O Ewigkeit", du Donnerwort," BWV 60:Chorale Es ist genug...""",Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan
11/20/2015,Alban Berg ,54,m,54, Concerto for Violin and Orchestra,Isabelle Faust , Violin,nan,nan,nan,,,
11/20/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 5 in D minor, Op. 47,nan,nan,nan,nan,nan,,
11/21/2015,Johann Sebastian Bach ,10,m,10, Komm, Jesu, komm: Motet for Double Chorus S229,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/21/2015,Johann Sebastian Bach ,10,m,10, Cantata No. 60," ""O Ewigkeit", du Donnerwort," BWV 60:Chorale Es ist genug...""",Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan
11/21/2015,Alban Berg ,54,m,54, Concerto for Violin and Orchestra,Isabelle Faust , Violin,nan,nan,nan,,,
11/21/2015,Dmitri Shostakovich ,1,m,1, Symphony No. 5 in D minor, Op. 47,nan,nan,nan,nan,nan,,
11/24/2015,Johann Sebastian Bach ,10,m,10, Suite for Orchestra No. 3 in D major, BWV 1068: (2) Air (Lento)," ""Air on the G String""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/24/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 30 in C major," ""Alleluja""",nan,nan,nan,nan,nan,,
11/24/2015,Bela Bartok ,27,m,27, Concerto for Piano No. 2,Yefim Bronfman , Piano,nan,nan,nan,,,
11/24/2015,Robert Schumann ,17,m,17, Faschingsschwank aus Wien (for piano), Op. 25: (2) Romanze,Yefim Bronfman , Piano,nan,nan,nan,,
11/24/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 1 in G minor, Op. 13," ""Winter Daydreams""",nan,nan,nan,nan,nan,
11/27/2015,Johann Sebastian Bach ,10,m,10, Suite for Orchestra No. 3 in D major, BWV 1068: (2) Air (Lento)," ""Air on the G String""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/27/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 30 in C major," ""Alleluja""",nan,nan,nan,nan,nan,,
11/27/2015,Bela Bartok ,27,m,27, Concerto for Piano No. 2,Yefim Bronfman , Piano,nan,nan,nan,,,
11/27/2015,Robert Schumann ,17,m,17, Arabeske in C major for piano, Op. 18,Yefim Bronfman , Piano,nan,nan,nan,,
11/27/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 1 in G minor, Op. 13," ""Winter Daydreams""",nan,nan,nan,nan,nan,
11/28/2015,Johann Sebastian Bach ,10,m,10, Suite for Orchestra No. 3 in D major, BWV 1068: (2) Air (Lento)," ""Air on the G String""",nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,
11/28/2015,Franz Joseph Haydn ,11,m,11, Symphony No. 30 in C major," ""Alleluja""",nan,nan,nan,nan,nan,,
11/28/2015,Bela Bartok ,27,m,27, Concerto for Piano No. 2,Yefim Bronfman , Piano,nan,nan,nan,,,
11/28/2015,Frederic Chopin ,64,m,64, Etude No. 8 in F major for Piano, Op. 10, No. 8,Yefim Bronfman , Piano,nan,nan,nan,
11/28/2015,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 1 in G minor, Op. 13," ""Winter Daydreams""",nan,nan,nan,nan,nan,
1/28/2016,Carl Maria von Weber ,37,m,37, Oberon: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
1/28/2016,Hans Werner Henze ,52,m,52, Symphony No. 8,nan,nan,nan,nan,nan,,,
1/28/2016,Felix Mendelssohn ,19,m,19, Incidental music to A Midsummer Night's Dream (theatrical adaptation by Bill Barclay),Carson Elrod , Actor Abigail Fischer ,nan,nan,nan,,,
1/29/2016,Carl Maria von Weber ,37,m,37, Oberon: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
1/29/2016,Hans Werner Henze ,52,m,52, Symphony No. 8,nan,nan,nan,nan,nan,,,
1/29/2016,Felix Mendelssohn ,19,m,19, Incidental music to A Midsummer Night's Dream (theatrical adaptation by Bill Barclay),Carson Elrod , Actor Abigail Fischer ,nan,nan,nan,,,
1/30/2016,Carl Maria von Weber ,37,m,37, Oberon: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
1/30/2016,Hans Werner Henze ,52,m,52, Symphony No. 8,nan,nan,nan,nan,nan,,,
1/30/2016,Felix Mendelssohn ,19,m,19, Incidental music to A Midsummer Night's Dream (theatrical adaptation by Bill Barclay),Carson Elrod , Actor Abigail Fischer ,nan,nan,nan,,,
2/2/2016,Carl Maria von Weber ,37,m,37, Oberon: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
2/2/2016,Hans Werner Henze ,52,m,52, Symphony No. 8,nan,nan,nan,nan,nan,,,
2/2/2016,Felix Mendelssohn ,19,m,19, Incidental music to A Midsummer Night's Dream (theatrical adaptation by Bill Barclay),Carson Elrod , Actor Abigail Fischer ,nan,nan,nan,,,
2/4/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/4/2016,Hans Abrahamsen ,61,m,61, let me tell you,Barbara Hannigan , Soprano,nan,nan,nan,,,
2/4/2016,Sergei Prokofiev ,15,m,15, Romeo and Juliet: Suite - Nelsons 2013,nan,nan,nan,nan,nan,,,
2/5/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/5/2016,Hans Abrahamsen ,61,m,61, let me tell you,Barbara Hannigan , Soprano,nan,nan,nan,,,
2/5/2016,Sergei Prokofiev ,15,m,15, Romeo and Juliet: Suite - Nelsons 2013,nan,nan,nan,nan,nan,,,
2/6/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/6/2016,Hans Abrahamsen ,61,m,61, let me tell you,Barbara Hannigan , Soprano,nan,nan,nan,,,
2/6/2016,Sergei Prokofiev ,15,m,15, Romeo and Juliet: Suite - Nelsons 2013,nan,nan,nan,nan,nan,,,
2/11/2016,Richard Strauss ,3,m,3, Macbeth, Op. 23,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/11/2016,Antonin Dvorak ,16,m,16, Othello Overture, Op. 93,nan,nan,nan,nan,nan,,
2/11/2016,George Tsontakis ,34,m,34, Sonnets, Tone Poems for English Horn and Orchestra,Robert Sheena , English Horn,nan,nan,nan,,
2/11/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Romeo and Juliet Overture-Fantasy,nan,nan,nan,nan,nan,,,
2/12/2016,Richard Strauss ,3,m,3, Macbeth, Op. 23,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/12/2016,George Tsontakis ,34,m,34, Sonnets, Tone Poems for English Horn and Orchestra,Robert Sheena , English Horn,nan,nan,nan,,
2/12/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Romeo and Juliet Overture-Fantasy,nan,nan,nan,nan,nan,,,
2/13/2016,Richard Strauss ,3,m,3, Macbeth, Op. 23,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/13/2016,Antonin Dvorak ,16,m,16, Othello Overture, Op. 93,nan,nan,nan,nan,nan,,
2/13/2016,George Tsontakis ,34,m,34, Sonnets, Tone Poems for English Horn and Orchestra,Robert Sheena , English Horn,nan,nan,nan,,
2/13/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Romeo and Juliet Overture-Fantasy,nan,nan,nan,nan,nan,,,
3/24/2016,Giya Kancheli ,50,m,50, Dixi,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/24/2016,Sergei Rachmaninoff ,9,m,9, Rhapsody on a Theme of Paganini, Op. 43,Nikolai Lugansky , Piano,nan,nan,nan,,
3/24/2016,Dmitri Shostakovich ,1,m,1, Symphony No. 8 in C minor, Op. 65,nan,nan,nan,nan,nan,,
3/25/2016,Giya Kancheli ,50,m,50, Dixi,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/25/2016,Sergei Rachmaninoff ,9,m,9, Rhapsody on a Theme of Paganini, Op. 43,Nikolai Lugansky , Piano,nan,nan,nan,,
3/25/2016,Dmitri Shostakovich ,1,m,1, Symphony No. 8 in C minor, Op. 65,nan,nan,nan,nan,nan,,
3/26/2016,Giya Kancheli ,50,m,50, Dixi,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
3/26/2016,Sergei Rachmaninoff ,9,m,9, Rhapsody on a Theme of Paganini, Op. 43,Nikolai Lugansky , Piano,nan,nan,nan,,
3/26/2016,Dmitri Shostakovich ,1,m,1, Symphony No. 8 in C minor, Op. 65,nan,nan,nan,nan,nan,,
3/29/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
3/29/2016,Giya Kancheli ,50,m,50, Dixi,Tanglewood Festival Chorus , SATB Chorus,nan,nan,nan,,,
3/29/2016,Dmitri Shostakovich ,1,m,1, Symphony No. 8 in C minor, Op. 65,nan,nan,nan,nan,nan,,
4/7/2016,Wolfgang Amadeus Mozart ,6,m,6, Sinfonia Concertante for Violin and Viola in E-flat major, K. 320d (364),Steven Ansell , Viola Malcolm Lowe ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/7/2016,Anton Bruckner ,12,m,12, Symphony No. 3 in D minor (1890 final publ. version),nan,nan,nan,nan,nan,,,
4/8/2016,Wolfgang Amadeus Mozart ,6,m,6, Sinfonia Concertante for Violin and Viola in E-flat major, K. 320d (364),Steven Ansell , Viola Malcolm Lowe ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/8/2016,Anton Bruckner ,12,m,12, Symphony No. 3 in D minor (1890 final publ. version),nan,nan,nan,nan,nan,,,
4/9/2016,Wolfgang Amadeus Mozart ,6,m,6, Sinfonia Concertante for Violin and Viola in E-flat major, K. 320d (364),Steven Ansell , Viola Malcolm Lowe ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/9/2016,Anton Bruckner ,12,m,12, Symphony No. 3 in D minor (1890 final publ. version),nan,nan,nan,nan,nan,,,
4/12/2016,Wolfgang Amadeus Mozart ,6,m,6, Sinfonia Concertante for Violin and Viola in E-flat major, K. 320d (364),Steven Ansell , Viola Malcolm Lowe ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
4/12/2016,Anton Bruckner ,12,m,12, Symphony No. 3 in D minor (1890 final publ. version),nan,nan,nan,nan,nan,,,
4/14/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/15/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/16/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/19/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/21/2016,Henri Dutilleux ,57,m,57, M�taboles,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/21/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,Kristine Opolais , Soprano,nan,nan,nan,,
4/21/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,Kristine Opolais , Soprano,nan,nan,nan,,,
4/21/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
4/21/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
4/22/2016,Henri Dutilleux ,57,m,57, M�taboles,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/22/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,Kristine Opolais , Soprano,nan,nan,nan,,
4/22/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,Kristine Opolais , Soprano,nan,nan,nan,,,
4/22/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
4/22/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
4/23/2016,Henri Dutilleux ,57,m,57, M�taboles,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
4/23/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,Kristine Opolais , Soprano,nan,nan,nan,,
4/23/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,Kristine Opolais , Soprano,nan,nan,nan,,,
4/23/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
4/23/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
5/3/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Alte Oper,,,
5/4/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Philharmonie,,
5/4/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,nan,nan,nan,nan,nan,,
5/4/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,nan,nan,nan,nan,nan,,,
5/4/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
5/4/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
5/4/2016,Georges Bizet ,31,m,31, Carmen: Suite No. 1: (3) Intermezzo (Act III Nocturne),nan,nan,nan,nan,nan,,,
5/5/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Gewandhaus,,,
5/6/2016,Max Bruch ,70,m,70, Kol Nidrei, for Cello and Orchestra, Op. 47,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Fraüen Kirche,
5/6/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,nan,nan,nan,,,
5/8/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Philharmonie,,
5/8/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,nan,nan,nan,nan,nan,,
5/8/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,nan,nan,nan,nan,nan,,,
5/8/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
5/8/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
5/8/2016,Georges Bizet ,31,m,31, Carmen: Suite No. 1: (3) Intermezzo (Act III Nocturne),nan,nan,nan,nan,nan,,,
5/9/2016,Dmitri Shostakovich ,1,m,1, Hamlet: Incidental Music, Op. 32,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Musikverein,,
5/9/2016,Sergei Rachmaninoff ,9,m,9, Romances (12), Op. 21: (07) How Fair This Spot,nan,nan,nan,nan,nan,,
5/9/2016,Pyotr Ilyich Tchaikovsky ,4,m,4, Eugene Onegin: Act 1: Letter Scene,nan,nan,nan,nan,nan,,,
5/9/2016,Claude Debussy ,21,m,21, Mer, La [The Sea]: Three Symphonic Sketches,nan,nan,nan,nan,nan,,
5/9/2016,Maurice Ravel ,13,m,13, Valse, La,nan,nan,nan,nan,nan,,
5/9/2016,Georges Bizet ,31,m,31, Carmen: Suite No. 1: (3) Intermezzo (Act III Nocturne),nan,nan,nan,nan,nan,,,
5/10/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Musikverein,,,
5/11/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Grosse Musikhalle,,,
5/12/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Philharmonie,,,
7/29/2016,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 27 in B-flat major, K. 595,Jonathan Biss , Piano,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/29/2016,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,nan,nan,nan,,,
7/30/2016,John Corigliano ,79,m,79, Fantasia on an Ostinato,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
7/30/2016,Jean Sibelius ,32,m,32, Concerto for Violin in D minor, Op. 47,Augustin Hadelich , Violin,nan,nan,nan,,
7/30/2016,Johann Sebastian Bach ,10,m,10, Sonata for Violin No. 2 in A minor, S1003: (3) Andante,Augustin Hadelich , Violin,nan,nan,nan,,
7/30/2016,Ludwig van Beethoven ,5,m,5, Symphony No. 7 in A major, Op. 92,nan,nan,nan,nan,nan,,
