date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
9/27/2014,Pietro Mascagni ,63,m,63," Cavalleria Rusticana: Act 2: ""Mamma"," quel vino è generoso""",Jonas Kaufmann , Tenor,nan,nan,nan,,
9/27/2014,Alfredo Catalani ,66,m,66, Wally: Ebben? Ne andrò lontana,Kristine Opolais , Soprano,nan,nan,nan,,,
9/27/2014,Pietro Mascagni ,63,m,63, Cavalleria Rusticana: Intermezzo,nan,nan,nan,nan,nan,,,
9/27/2014,Giacomo Puccini ,22,m,22, Manon Lescaut, Act 2: Love Duet,Jonas Kaufmann , Tenor Kristine Opolais ,nan,nan,nan,,
9/27/2014,Giacomo Puccini ,22,m,22, Bohème, La: Act 1: Finale, O soave fanciulla,Jonas Kaufmann , Tenor Kristine Opolais ,nan,nan,nan,
9/27/2014,Ottorino Respighi ,78,m,78, Pines of Rome [Pini di Roma],nan,nan,nan,nan,nan,,,
10/1/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 8 in F major, Op. 93,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/1/2014,Bela Bartok ,27,m,27, Miraculous Mandarin: Suite, Op. 19,nan,nan,nan,nan,nan,,
10/1/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 6 in B minor," ""Pathetique""",nan,nan,nan,nan,nan,,
10/2/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 8 in F major, Op. 93,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/2/2014,Bela Bartok ,27,m,27, Miraculous Mandarin: Suite, Op. 19,nan,nan,nan,nan,nan,,
10/2/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 6 in B minor," ""Pathetique""",nan,nan,nan,nan,nan,,
10/3/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 8 in F major, Op. 93,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/3/2014,Bela Bartok ,27,m,27, Miraculous Mandarin: Suite, Op. 19,nan,nan,nan,nan,nan,,
10/3/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 6 in B minor," ""Pathetique""",nan,nan,nan,nan,nan,,
11/6/2014,Sofia Gubaidulina ,24,f,24, Offertorium, concerto for violin,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/6/2014,Jean Sibelius ,32,m,32, Symphony No. 2 in D major, Op. 43,nan,nan,nan,nan,nan,,
11/7/2014,Sofia Gubaidulina ,24,f,24, Offertorium, concerto for violin,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/7/2014,Jean Sibelius ,32,m,32, Symphony No. 2 in D major, Op. 43,nan,nan,nan,nan,nan,,
11/8/2014,Sofia Gubaidulina ,24,f,24, Offertorium, concerto for violin,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
11/8/2014,Jean Sibelius ,32,m,32, Symphony No. 2 in D major, Op. 43,nan,nan,nan,nan,nan,,
11/11/2014,Sofia Gubaidulina ,24,f,24, Offertorium, concerto for violin,Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
